route,performance_proxy,technical_seo,aeo,geo,html_gzip_kb,js_gzip_kb,css_gzip_kb,dom_nodes,estimated_requests,title,notes
"/products/alto-el-sol/","92","100","100","88","18.8","169.5","68.7","931","47","Alto El Sol (65%) Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/alunga-milk-organic/","92","100","100","88","18.9","169.5","68.7","932","47","Alunga Milk Organic (41%) Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/amaze-ice-cream-stabilizer/","92","100","100","88","19","169.5","68.7","932","47","Amaze Ice Cream Stabilizer Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/ammonium-bicarbonate/","92","100","100","88","18.9","169.5","68.7","929","47","Ammonium Bicarbonate Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/apple-cinnamon-filling/","92","100","100","94","18.8","169.5","68.7","932","47","Apple Cinnamon Filling Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/apple-filling/","92","100","100","94","18.8","169.5","68.7","932","47","Apple Filling Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/apple-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Apple Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/apricot-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Apricot Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/arriba-single-origin/","94","100","100","88","18.8","169.5","68.7","931","47","Arriba Single Origin (39%) Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/ascorbic-acid/","92","100","100","88","18.9","169.5","68.7","929","47","Ascorbic Acid Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/aspartame/","92","100","100","88","18.9","169.5","68.7","929","47","Aspartame Powder Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/azurro-cielo/","92","100","100","94","18.9","169.5","68.7","935","47","Azurro Cielo Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/bakers-cream-cinnamon/","92","100","100","94","18.8","169.5","68.7","932","47","Bakers Cream Cinnamon Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/bakers-cream-vanilla/","92","100","100","94","18.8","169.5","68.7","932","47","Bakers Cream Vanilla Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/baking-powder/","92","100","100","88","18.9","169.5","68.7","932","47","Baking Powder Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/baklava-paste/","92","100","100","88","18.8","169.5","68.7","932","47","Baklava Paste Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/baklava-pistachio-cream/","92","100","100","88","18.8","169.5","68.7","932","47","Baklava Pistachio Cream Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/baklava-walnut-cream/","92","100","100","88","18.8","169.5","68.7","932","47","Baklava Walnut Cream Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/banana-filling/","92","100","100","94","18.8","169.5","68.7","932","47","Banana Filling Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/banana-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Banana Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/banana-with-pieces/","92","100","100","94","18.9","169.5","68.7","935","47","Banana with Pieces Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/banana/","92","100","100","94","18.9","169.5","68.7","935","47","Banana Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/barazek-cream/","92","100","100","88","18.8","169.5","68.7","932","47","Barazek Cream Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/base-50/","92","100","100","94","18.9","169.5","68.7","935","47","Base 50 Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/base-6/","92","100","100","94","18.9","169.5","68.7","935","47","Base 6 Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/base-alba/","92","100","100","94","18.9","169.5","68.7","935","47","Base Alba Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/base-divina/","92","100","100","94","18.9","169.5","68.7","935","47","Base Divina Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/base-frutta-frutta/","92","100","100","88","18.9","169.5","68.7","931","47","Base Frutta Frutta Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/base-g-menomeno/","92","100","100","94","18.9","169.5","68.7","934","47","Base G Menomeno Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/base-vegan/","92","100","100","94","18.9","169.5","68.7","935","47","Base Vegan Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/best-brown-bread-mix/","92","100","100","88","19","169.5","68.7","932","47","Best Brown Bread Mix Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/biscottino-paste/","92","100","100","94","18.9","169.5","68.7","935","47","Biscottino Paste (Biscuit) Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/biscuit-enhancer/","92","100","100","88","18.9","169.5","68.7","932","47","Biscuit Enhancer Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/black-cocoa-powder/","92","100","100","88","19","169.5","68.7","929","47","Black Cocoa Powder Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/black-currant-frozen/","92","100","100","88","18.8","169.5","68.7","932","47","Black Currant Frozen Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/black-currant/","92","100","100","94","18.9","169.5","68.7","934","47","Black Currant Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/blackberry-frozen/","92","100","100","88","18.8","169.5","68.7","931","47","Blackberry Frozen Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/blackberry-puree/","92","100","100","88","18.8","169.5","68.7","931","47","Blackberry Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/blanc-satin/","92","100","93","88","18.8","169.5","68.7","932","47","Blanc Satin (29.2%) Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/blueberry-filling/","92","100","100","94","18.8","169.5","68.7","931","47","Blueberry Filling Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/blueberry-frozen/","92","100","100","88","18.8","169.5","68.7","931","47","Blueberry Frozen Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/blueberry-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Blueberry Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/blueberry/","92","100","100","94","18.9","169.5","68.7","935","47","Blueberry Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/boiron-blackberry-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Boiron Blackberry Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/boiron-coconut-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Boiron Coconut Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/boiron-mango-puree/","92","100","100","88","18.9","169.5","68.7","931","47","Boiron Mango Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/boiron-pineapple-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Boiron Pineapple Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/boiron-raspberry-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Boiron Raspberry Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/boiron-strawberry-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Boiron Strawberry Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/boric-acid/","92","100","100","88","18.9","169.5","68.7","929","47","Boric Acid Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/bread-yield-improver/","92","100","100","88","19","169.5","68.7","932","47","Bread Yield Improver Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/bubbly/","92","100","100","94","18.9","169.5","68.7","935","47","Bubbly Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cake-gel/","92","100","100","88","18.8","169.5","68.7","932","47","Cake Gel Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cake-life/","92","100","100","88","19","169.5","68.7","931","47","Cake Life Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cake-syrup/","92","100","100","88","18.9","169.5","68.7","931","47","Cake Syrup Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/calcium-carbonate/","92","100","100","88","18.9","169.5","68.7","929","47","Calcium Carbonate Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/calcium-chloride/","92","100","100","88","18.9","169.5","68.7","929","47","Calcium Chloride Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/calcium-gluconate/","92","100","100","88","18.9","169.5","68.7","929","47","Calcium Gluconate Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/calcium-propionate/","92","100","100","88","19","169.5","68.7","932","47","Calcium Propionate (CP) Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cappuccino-paste/","92","100","100","88","18.8","169.5","68.7","931","47","Cappuccino Paste Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cara-crakine/","92","100","100","94","18.7","169.5","68.7","932","47","Cara Crakine Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/caramel-fill/","92","100","100","94","18.7","169.5","68.7","932","47","Caramel Fill Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/caramel/","92","100","100","94","18.9","169.5","68.7","935","47","Caramel Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cb-grand-caraque-100-cocoa-mass/","92","100","100","94","18.8","169.5","68.7","932","47","CB Grand Caraque 100% Cocoa Mass Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/celebre-fruit-purees/","92","100","100","88","18.8","169.5","68.7","932","47","Celebre Fruit Purees Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/celebre-iqf-fruits/","92","100","100","88","18.8","169.5","68.7","931","47","Celebre IQF Fruits Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cheese-cake-base/","92","100","100","94","18.9","169.5","68.7","934","47","Cheese Cake Base Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cherry-mania-paste/","92","100","100","94","18.9","169.5","68.7","935","47","Cherry Mania Paste Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/choco-paste/","92","100","100","88","18.8","169.5","68.7","932","47","Choco Paste Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/chocolate-drink/","92","100","100","88","18.8","169.5","68.7","932","47","Chocolate Drink Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/chocolate-madagasca-powder/","92","100","100","94","18.9","169.5","68.7","935","47","Chocolate Madagasca-Powder Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/citric-acid-anhydrous/","92","100","100","88","19","169.5","68.7","929","47","Citric Acid Anhydrous Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/citric-acid-monohydrate/","92","100","100","88","19","169.5","68.7","929","47","Citric Acid Monohydrate Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/classic-cake-mix-range/","92","100","100","88","18.9","169.5","68.7","932","47","Classic Cake Mix Range Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/clearam-ch-20-20/","92","100","100","88","19","169.5","68.7","929","47","CLEARAM® CH 20 20 Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cocoa-butter/","92","100","100","88","18.8","169.5","68.7","932","47","Cocoa Butter Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cocoa-mass/","92","100","100","88","18.8","169.5","68.7","931","47","Cocoa Mass Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cocoa-miscela/","92","100","100","94","18.9","169.5","68.7","935","47","Cocoa Miscela Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cocoa-nibs/","92","100","100","94","18.7","169.5","68.7","932","47","Cocoa Nibs Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cocoa-powder/","90","100","100","88","18.9","169.5","68.7","937","48","Cocoa Powder Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/coconut-filling/","92","100","100","94","18.8","169.5","68.7","932","47","Coconut Filling Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/coconut-puree/","92","100","100","88","18.8","169.5","68.7","932","47","Coconut Puree Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/coconut/","92","100","100","94","18.9","169.5","68.7","935","47","Coconut Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/coffee-extract/","92","100","100","94","18.9","169.5","68.7","934","47","Coffee Extract Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/coffee-lyophilized/","92","100","100","94","18.9","169.5","68.7","935","47","Coffee Lyophilized Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cookies-black-variegato/","92","100","100","94","18.9","169.5","68.7","935","47","Cookies Black Variegato Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cookies-black/","92","100","100","94","18.9","169.5","68.7","935","47","Cookies Black Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cookies-caramel/","92","100","100","94","18.9","169.5","68.7","934","47","Cookies Caramel Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cookies-spicy/","92","100","100","94","18.9","169.5","68.7","935","47","Cookies Spicy Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cookies-variegato/","92","100","100","94","18.9","169.5","68.7","934","47","Cookies Variegato Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cop-caramello-tipo/","92","100","93","94","18.9","169.5","68.7","935","47","Cop. Caramello Tipo Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cop-fondente-tipo/","92","100","93","94","18.9","169.5","68.7","935","47","Cop. Fondente Tipo Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cop-fragola-tipo/","92","100","93","94","18.9","169.5","68.7","935","47","Cop. Fragola Tipo Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cop-limone-tipo/","92","100","93","94","18.9","169.5","68.7","934","47","Cop. Limone Tipo Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cop-nocciola-tipo/","92","100","93","94","18.9","169.5","68.7","935","47","Cop. Nocciola Tipo Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cop-pistachio-tipo/","92","100","93","94","18.9","169.5","68.7","935","47","Cop. Pistachio Tipo Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/copertura-caramello/","92","100","100","88","18.9","169.5","68.7","931","47","Copertura Caramello Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/copertura-fondente/","92","100","100","88","18.9","169.5","68.7","931","47","Copertura Fondente Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/copertura-fragola/","92","100","100","88","18.9","169.5","68.7","931","47","Copertura Fragola Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/copertura-limone/","92","100","100","88","18.9","169.5","68.7","931","47","Copertura Limone Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/copertura-nocciola/","92","100","100","88","18.9","169.5","68.7","931","47","Copertura Nocciola Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/copertura-pistachio/","92","100","100","88","18.9","169.5","68.7","931","47","Copertura Pistachio Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/corman-dairy-butter-82/","92","100","100","88","18.9","169.5","68.7","932","47","Corman Dairy Butter 82% Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/corman-sculpture-whipping-speciality/","92","94","100","88","19","169.5","68.7","932","47","Corman Sculpture Whipping Speciality Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/covering-stracciatella/","92","100","100","94","18.9","169.5","68.7","935","47","Covering Stracciatella Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/cranberries-frozen/","92","100","100","88","18.8","169.5","68.7","931","47","Cranberries Frozen Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/crema-cacao-paste/","92","100","100","94","18.9","169.5","68.7","934","47","Crema Cacao-paste Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/crema-chocomilky/","92","100","100","88","18.9","169.5","68.7","932","47","Crema Chocomilky Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/croissant-eggless-30-g/","92","100","100","100","18.9","169.5","68.7","932","47","Croissant Eggless 30 g Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/croissant-eggless-50-g/","92","100","100","100","18.9","169.5","68.7","932","47","Croissant Eggless 50 g Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/croissant-eggless-70-g/","92","100","100","100","18.9","169.5","68.7","932","47","Croissant Eggless 70 g Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/crokky/","92","100","100","94","18.9","169.5","68.7","935","47","Crokky Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/custard-powder/","92","100","100","88","19","169.5","68.7","932","47","Custard Powder Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/dark-cherry-filling/","92","100","100","94","18.8","169.5","68.7","931","47","Dark Cherry Filling Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
"/products/dark-chips/","92","100","100","88","18.8","169.5","68.7","932","47","Dark Chips Supplier in Chennai | Vikranth","CSS budget exceeded; No freshness signal"
